4/1/2024 20:04:18 [Information] Stepper Motor Controller Application Started.
4/1/2024 20:04:18 [Information] Version:2.0.0.36086 (4/1/2024 20:04:18)
4/1/2024 20:04:18 [Information] Opened Serial Port at: COM4, 9600
4/1/2024 20:04:51 [Information] Time remaining: 00:00:07 targetEndTime = 08:04:56
4/1/2024 20:04:51 [Information] Time remaining: 00:00:07 targetEndTime = 08:04:56
4/1/2024 20:04:51 [Information] Time remaining: 00:00:07 targetEndTime = 08:04:56
4/1/2024 20:04:51 [Information] Time remaining: 00:00:07 targetEndTime = 08:04:56
4/1/2024 20:04:51 [Information] Time remaining: 00:00:07 targetEndTime = 08:04:56
4/1/2024 20:04:51 [Information] Time remaining: 00:00:07 targetEndTime = 08:04:56
4/1/2024 20:04:51 [Information] Time remaining: 00:00:07 targetEndTime = 08:04:56
4/1/2024 20:04:52 [Information] Time remaining: 00:00:07 targetEndTime = 08:04:56
4/1/2024 20:04:52 [Information] Time remaining: 00:00:07 targetEndTime = 08:04:56
4/1/2024 20:04:52 [Information] Time remaining: 00:00:07 targetEndTime = 08:04:56
4/1/2024 20:04:52 [Information] Time remaining: 00:00:07 targetEndTime = 08:04:56
4/1/2024 20:04:52 [Information] Time remaining: 00:00:07 targetEndTime = 08:04:56
4/1/2024 20:04:52 [Information] Time remaining: 00:00:07 targetEndTime = 08:04:56
4/1/2024 20:04:52 [Information] Time remaining: 00:00:07 targetEndTime = 08:04:56
4/1/2024 20:04:52 [Information] Time remaining: 00:00:07 targetEndTime = 08:04:56
4/1/2024 20:04:52 [Information] Time remaining: 00:00:07 targetEndTime = 08:04:56
4/1/2024 20:04:52 [Information] Time remaining: 00:00:07 targetEndTime = 08:04:56
4/1/2024 20:04:52 [Information] Time remaining: 00:00:07 targetEndTime = 08:04:56
4/1/2024 20:04:52 [Information] Time remaining: 00:00:07 targetEndTime = 08:04:56
4/1/2024 20:04:52 [Information] Time remaining: 00:00:07 targetEndTime = 08:04:56
4/1/2024 20:04:52 [Information] Time remaining: 00:00:07 targetEndTime = 08:04:56
4/1/2024 20:04:52 [Information] Time remaining: 00:00:07 targetEndTime = 08:04:56
4/1/2024 20:04:52 [Information] Time remaining: 00:00:07 targetEndTime = 08:04:56
